outer_split,model_id,E_L,Q_L,V_L,complexity,RMSE_selected,MAE_selected,RMSE_baseline,MAE_baseline,RMSE_lm,MAE_lm,n_test
1,M6,FALSE,TRUE,TRUE,2,1.2939430786889943,0.8700326002582079,1.3276396642981982,0.9068185796435104,1.2946054903350561,0.8795855415347883,825
2,M6,FALSE,TRUE,TRUE,2,1.3643232018464022,0.9224181899525948,1.407250180724812,0.9546088526732243,1.3589980180126389,0.9281519459950233,825
3,M7,TRUE,TRUE,TRUE,3,1.396552798329013,0.9623172982259409,1.4393980724998718,0.9962216338006553,1.3899824043122222,0.9636390091478211,825
4,M7,TRUE,TRUE,TRUE,3,1.3470711620200282,0.8833425341116006,1.383520509242051,0.9265016535304819,1.3365046638572742,0.8787008287486809,825
5,M6,FALSE,TRUE,TRUE,2,1.3543488378228459,0.8957487041627852,1.3826533278723891,0.9258850614781012,1.3420182693685638,0.898780975961112,825
6,M6,FALSE,TRUE,TRUE,2,1.2651668672958556,0.8578733841982459,1.309511816497358,0.8984972507697357,1.2643073036363013,0.8633882827950468,824
7,M6,FALSE,TRUE,TRUE,2,1.138838264747805,0.7879742287550956,1.158488548352338,0.8170690518569346,1.1381798840335058,0.7938005512055518,824
8,M6,FALSE,TRUE,TRUE,2,1.382109074621084,0.9000162933825273,1.389616993009129,0.919555002452756,1.3749423528236855,0.9030724047120817,823
9,M6,FALSE,TRUE,TRUE,2,1.245313706565505,0.8447529790954826,1.2814783845180377,0.8772435887115558,1.2383221260316748,0.8504725099681432,822
10,M7,TRUE,TRUE,TRUE,3,1.3465030142590106,0.9042142686815389,1.372450987930703,0.9312457100889568,1.331907263014201,0.9070154867996734,821
11,M7,TRUE,TRUE,TRUE,3,1.250947490047511,0.8365712386187302,1.2970827445995785,0.8699589518607891,1.2482634154265617,0.8398997649140212,825
12,M6,FALSE,TRUE,TRUE,2,1.3455673902538787,0.8602492012320949,1.3578433212001637,0.8882902582840492,1.3409529302385235,0.8689696425969776,825
13,M7,TRUE,TRUE,TRUE,3,1.3155104343512254,0.8825105743568811,1.3574222161532856,0.9250579683864687,1.3040324931582883,0.881415901767281,825
14,M7,TRUE,TRUE,TRUE,3,1.2945402128537074,0.8540545157374553,1.3252130644428752,0.8851060814617808,1.2950725770202902,0.8606378659017511,825
15,M6,FALSE,TRUE,TRUE,2,1.2862738007902481,0.894607079254728,1.3137922476780046,0.9226393670319503,1.2757290502227918,0.8944715823633759,825
16,M6,FALSE,TRUE,TRUE,2,1.4498200523282991,0.9652658528567816,1.4879043330511195,0.9985386755735706,1.4414360777546698,0.9650915134027525,824
17,M6,FALSE,TRUE,TRUE,2,1.2048556959683516,0.8491281621596987,1.2504994002886884,0.8936980371633026,1.1935658205442317,0.8527795394535738,824
18,M6,FALSE,TRUE,TRUE,2,1.357209911036305,0.9265538823024008,1.3890215717264194,0.9615222998525662,1.3525860261234157,0.9359001018569821,823
19,M7,TRUE,TRUE,TRUE,3,1.412381461103973,0.9174892651847768,1.4190030694175082,0.9282597023636121,1.4061951627920217,0.9198288284712093,822
20,M7,TRUE,TRUE,TRUE,3,1.2138438840675922,0.8414529395473525,1.2588825490694353,0.8814454252615969,1.2091753769352764,0.8478798985689897,821
21,M7,TRUE,TRUE,TRUE,3,1.3657433365029947,0.8993021541698346,1.409875962897512,0.937431259426444,1.3584001302058415,0.9070265190891623,825
22,M6,FALSE,TRUE,TRUE,2,1.297477128172072,0.8648418708786171,1.3377346820622007,0.9058005435923921,1.2949523735558475,0.8716998085170311,825
23,M6,FALSE,TRUE,TRUE,2,1.2368274491883342,0.8493471074007362,1.2688522133374673,0.8762401036755958,1.2278760801271449,0.847079310409151,825
24,M7,TRUE,TRUE,TRUE,3,1.3431425086432849,0.8873700322936494,1.3914800966601286,0.9351275281816769,1.338529604795949,0.8908881521061038,825
25,M7,TRUE,TRUE,TRUE,3,1.370047916895177,0.8825955560813525,1.3912656814154523,0.9253365967427061,1.3579600185750285,0.8797356372897283,825
26,M7,TRUE,TRUE,TRUE,3,1.362324462314719,0.903240830965631,1.3850313609758802,0.9367170806792943,1.355327865217363,0.9047682413915754,824
27,M6,FALSE,TRUE,TRUE,2,1.2920600156036361,0.8822009736228559,1.335003113378037,0.9098784763101843,1.2802890845932584,0.8830946620201093,824
28,M7,TRUE,TRUE,TRUE,3,1.2646612938845392,0.8583608418733695,1.2968976075044834,0.8884511714817994,1.2636162466498255,0.8701929168467215,823
29,M7,TRUE,TRUE,TRUE,3,1.3305431328396784,0.9138876112954214,1.3530676657095206,0.944012727555561,1.328705837260017,0.9193958580898403,822
30,M7,TRUE,TRUE,TRUE,3,1.2789487291390196,0.8856251051492022,1.2966068359713734,0.8954634838053651,1.275331373980336,0.8915031611321872,821
31,M6,FALSE,TRUE,TRUE,2,1.2985223178251295,0.8814880679967313,1.3385671518323947,0.9109313303078879,1.290298869832976,0.8828686902071641,825
32,M6,FALSE,TRUE,TRUE,2,1.2745183025571083,0.8609952710416487,1.3147579938242293,0.903181720690129,1.2766484559550975,0.8705490666160206,825
