"N","lambda","rho","truth","rep","status","naive_model","naive_reported_rmse","naive_true_rmse","naive_true_mae","naive_optimism_rmse","naive_TPR","naive_FPR","naive_F1","nested_top_model","nested_reported_rmse","nested_true_rmse","nested_true_mae","nested_optimism_rmse","nested_TPR","nested_FPR","nested_F1","nested_modal_true_rmse","nested_modal_true_mae","nested_modal_optimism","nested_modal_TPR","nested_modal_FPR","nested_modal_F1"
200,0.7,0,"M0",1,"ok","M6",0.953313583821625,1.02031773581577,0.813419678950826,-0.0670041519941436,NA,0.666666666666667,0,"M2",0.95462646974107,1.01952476231636,0.813257186912353,-0.0648982925752926,NA,0.366666666666667,0,1.01911098394677,0.813354083452451,-0.0644845142057022,NA,0.333333333333333,0
200,0.7,0,"M0",2,"ok","M0",0.976180157768834,1.03221338052928,0.826800981735674,-0.0560332227604511,NA,0,NA,"M0",0.973924087734889,1.03212743490538,0.826717592138647,-0.0582033471704938,NA,0.1,0,1.03221338052928,0.826800981735674,-0.0582892927943953,NA,0,NA
200,0.7,0,"M0",3,"ok","M2",1.07952782722264,1.01748261518537,0.803200005056805,0.0620452120372672,NA,0.333333333333333,0,"M1",1.1035132892304,1.01762352766716,0.80376557234586,0.0858897615632326,NA,0.333333333333333,0,1.01830381197666,0.804185664095717,0.0852094772537355,NA,0.333333333333333,0
200,0.7,0,"M0",4,"ok","M0",1.01735136763742,1.04310529922896,0.831501900319301,-0.0257539315915498,NA,0,NA,"M0",1.04043573286814,1.04592084276753,0.834104587661464,-0.00548510989938866,NA,0.266666666666667,0,1.04310529922896,0.831501900319301,-0.00266956636082383,NA,0,NA
200,0.7,0,"M0",5,"ok","M2",1.08692990248643,1.03025930718244,0.826166523141765,0.0566705953039839,NA,0.333333333333333,0,"M0",1.10532156358366,1.02612899470924,0.822642025101601,0.0791925688744155,NA,0.3,0,1.02334093292259,0.820315200962941,0.0819806306610686,NA,0,NA
200,0.7,0,"M0",6,"ok","M4",1.04670579323114,1.03233081406662,0.819685389877787,0.0143749791645165,NA,0.666666666666667,0,"M2",1.07065579795758,1.02826511746895,0.817386363550557,0.0423906804886343,NA,0.466666666666667,0,1.02626265681906,0.816263248909078,0.0443931411385152,NA,0.333333333333333,0
200,0.7,0,"M0",7,"ok","M4",1.02475254639155,1.0381723302426,0.829759218583762,-0.0134197838510504,NA,0.666666666666667,0,"M0",1.05160312101079,1.03557924332594,0.82777331833031,0.0160238776848516,NA,0.333333333333333,0,1.03430377001155,0.826814669277765,0.0172993509992447,NA,0,NA
200,0.7,0,"M0",8,"ok","M0",1.06356388921496,1.02019411829536,0.816770659188959,0.0433697709195966,NA,0,NA,"M0",1.06674577710217,1.02019411829536,0.816770659188959,0.0465516588068071,NA,0,NA,1.02019411829536,0.816770659188959,0.0465516588068071,NA,0,NA
200,0.7,0,"M0",9,"ok","M3",1.06698200297189,1.04300662827945,0.831810809096556,0.023975374692442,NA,0.333333333333333,0,"M0",1.06862355796388,1.04082673767977,0.830475908397618,0.0277968202841079,NA,0.266666666666667,0,1.03920967865167,0.829493319022486,0.0294138793122078,NA,0,NA
200,0.7,0,"M0",10,"ok","M0",1.04851610036174,1.02335899756319,0.815092200245002,0.0251571027985502,NA,0,NA,"M0",1.05724494074118,1.02396167698612,0.815821745154374,0.0332832637550524,NA,0.2,0,1.02335899756319,0.815092200245002,0.0338859431779859,NA,0,NA
200,0.7,0,"M0",11,"ok","M6",0.941668907346766,1.03151021599325,0.819961079348245,-0.089841308646487,NA,0.666666666666667,0,"M0",0.984537395389366,1.02528216523196,0.814823106371921,-0.040744769842594,NA,0.333333333333333,0,1.01746519154767,0.808715402975201,-0.0329277961583072,NA,0,NA
200,0.7,0,"M0",12,"ok","M6",1.01125137864662,1.0267130265376,0.822524121428313,-0.0154616478909722,NA,0.666666666666667,0,"M0",1.01411794691357,1.02425510134351,0.820417204635361,-0.010137154429938,NA,0.366666666666667,0,1.02304475710473,0.819223359785994,-0.00892681019116059,NA,0,NA
200,0.7,0,"M0",13,"ok","M6",0.874843091277573,1.00786331275056,0.804923999822946,-0.133020221472983,NA,0.666666666666667,0,"M6",0.885953463990658,1.00588202078831,0.803245482493406,-0.119928556797651,NA,0.533333333333333,0,1.00786331275056,0.804923999822946,-0.121909848759897,NA,0.666666666666667,0
200,0.7,0,"M0",14,"ok","M2",0.969054828847841,1.02317794882792,0.813855807092127,-0.0541231199800765,NA,0.333333333333333,0,"M2",0.974394959247702,1.02350625235853,0.814279367207004,-0.0491112931108248,NA,0.266666666666667,0,1.02317794882792,0.813855807092127,-0.0487829895802157,NA,0.333333333333333,0
200,0.7,0,"M0",15,"ok","M1",1.02271047399539,1.05180011845284,0.839397325286894,-0.0290896444574549,NA,0.333333333333333,0,"M1",1.0412975291496,1.04564027363861,0.83456818550278,-0.00434274448901117,NA,0.333333333333333,0,1.05180011845284,0.839397325286894,-0.0105025893032422,NA,0.333333333333333,0
200,0.7,0,"M0",16,"ok","M0",0.99329479199625,1.02301458902485,0.816291094694439,-0.0297197970286047,NA,0,NA,"M3",1.00612886481058,1.02342584489481,0.817419891669792,-0.0172969800842315,NA,0.366666666666667,0,1.02256319117287,0.816806970774585,-0.0164343263622899,NA,0.333333333333333,0
200,0.7,0,"M0",17,"ok","M0",1.02323990985573,1.01617867683406,0.81172479583458,0.00706123302167705,NA,0,NA,"M0",1.04090087321215,1.01612429160888,0.811689239100773,0.0247765816032677,NA,0.0333333333333333,0,1.01617867683406,0.81172479583458,0.0247221963780919,NA,0,NA
200,0.7,0,"M0",18,"ok","M0",1.0970076142739,1.03907779886931,0.831655445494256,0.0579298154045891,NA,0,NA,"M0",1.11892579265293,1.03952204038631,0.831725053456811,0.0794037522666164,NA,0.2,0,1.03907779886931,0.831655445494256,0.079847993783611,NA,0,NA
200,0.7,0,"M0",19,"ok","M1",1.02118559281772,1.02642675940861,0.818248981407054,-0.0052411665908878,NA,0.333333333333333,0,"M1",1.02811471242275,1.02713364461104,0.819138651991946,0.000981067811709702,NA,0.466666666666667,0,1.02642675940861,0.818248981407054,0.00168795301414715,NA,0.333333333333333,0
200,0.7,0,"M0",20,"ok","M0",1.0560302759871,1.04399137341247,0.825355842319114,0.0120389025746295,NA,0,NA,"M0",1.05217957291577,1.04399137341247,0.825355842319114,0.00818819950330307,NA,0,NA,1.04399137341247,0.825355842319114,0.00818819950330307,NA,0,NA
