"tau","core_model","true_rmse","true_mae","pE","pQ","pV","N","lambda","rho","truth","rep"
0.8,"M0",1.03040941722827,0.822257315384129,0.7,0.1,0.6,200,0.7,0,"M0",19
0.6,"M0",1.04399137341247,0.825355842319114,0,0,0,200,0.7,0,"M0",20
0.7,"M0",1.04399137341247,0.825355842319114,0,0,0,200,0.7,0,"M0",20
0.8,"M0",1.04399137341247,0.825355842319114,0,0,0,200,0.7,0,"M0",20
0.6,"M2",1.03960323791091,0.828576247508008,0.2,0.6,0.2,200,0.7,0,"M0",21
0.7,"M0",1.03075912312276,0.82245239010685,0.2,0.6,0.2,200,0.7,0,"M0",21
0.8,"M0",1.03075912312276,0.82245239010685,0.2,0.6,0.2,200,0.7,0,"M0",21
0.6,"M2",1.00803226648091,0.803073391074603,0.3,0.8,0.1,200,0.7,0,"M0",22
0.7,"M2",1.00803226648091,0.803073391074603,0.3,0.8,0.1,200,0.7,0,"M0",22
0.8,"M2",1.00803226648091,0.803073391074603,0.3,0.8,0.1,200,0.7,0,"M0",22
0.6,"M4",1.02740280989565,0.811612681547276,0.7,0.8,0,200,0.7,0,"M0",23
0.7,"M4",1.02740280989565,0.811612681547276,0.7,0.8,0,200,0.7,0,"M0",23
0.8,"M2",1.02096132319495,0.808166832255186,0.7,0.8,0,200,0.7,0,"M0",23
0.6,"M3",1.02388627168232,0.818141286738557,0.3,0.2,0.6,200,0.7,0,"M0",24
0.7,"M0",1.01720267143335,0.816637446959296,0.3,0.2,0.6,200,0.7,0,"M0",24
0.8,"M0",1.01720267143335,0.816637446959296,0.3,0.2,0.6,200,0.7,0,"M0",24
0.6,"M0",1.02826090527111,0.825159621964099,0.5,0.3,0,200,0.7,0,"M0",25
0.7,"M0",1.02826090527111,0.825159621964099,0.5,0.3,0,200,0.7,0,"M0",25
0.8,"M0",1.02826090527111,0.825159621964099,0.5,0.3,0,200,0.7,0,"M0",25
0.6,"M0",1.033927411019,0.822142399826898,0.2,0.2,0.2,200,0.7,0,"M0",26
0.7,"M0",1.033927411019,0.822142399826898,0.2,0.2,0.2,200,0.7,0,"M0",26
0.8,"M0",1.033927411019,0.822142399826898,0.2,0.2,0.2,200,0.7,0,"M0",26
0.6,"M0",1.01670962543329,0.811558169230504,0.3,0.1,0,200,0.7,0,"M0",27
0.7,"M0",1.01670962543329,0.811558169230504,0.3,0.1,0,200,0.7,0,"M0",27
0.8,"M0",1.01670962543329,0.811558169230504,0.3,0.1,0,200,0.7,0,"M0",27
0.6,"M3",1.03286740421531,0.825482459013252,0.2,0,0.9,200,0.7,0,"M0",28
0.7,"M3",1.03286740421531,0.825482459013252,0.2,0,0.9,200,0.7,0,"M0",28
0.8,"M3",1.03286740421531,0.825482459013252,0.2,0,0.9,200,0.7,0,"M0",28
0.6,"M2",1.03866936771056,0.827694207625946,0.4,0.7,0.1,200,0.7,0,"M0",29
0.7,"M2",1.03866936771056,0.827694207625946,0.4,0.7,0.1,200,0.7,0,"M0",29
0.8,"M0",1.03215913639378,0.822416985862861,0.4,0.7,0.1,200,0.7,0,"M0",29
0.6,"M3",1.00774400930984,0.800066465943671,0,0.2,0.8,200,0.7,0,"M0",30
0.7,"M3",1.00774400930984,0.800066465943671,0,0.2,0.8,200,0.7,0,"M0",30
0.8,"M3",1.00774400930984,0.800066465943671,0,0.2,0.8,200,0.7,0,"M0",30
0.6,"M3",1.02202280540844,0.815721203729529,0.5,0,0.8,200,0.7,0,"M0",31
0.7,"M3",1.02202280540844,0.815721203729529,0.5,0,0.8,200,0.7,0,"M0",31
0.8,"M3",1.02202280540844,0.815721203729529,0.5,0,0.8,200,0.7,0,"M0",31
0.6,"M1",1.02322003009291,0.812195102683016,0.7,0,0,200,0.7,0,"M0",32
0.7,"M1",1.02322003009291,0.812195102683016,0.7,0,0,200,0.7,0,"M0",32
0.8,"M0",1.01317175594713,0.805036547249864,0.7,0,0,200,0.7,0,"M0",32
0.6,"M0",1.01875660364816,0.816053160943296,0,0,0.2,200,0.7,0,"M0",33
0.7,"M0",1.01875660364816,0.816053160943296,0,0,0.2,200,0.7,0,"M0",33
0.8,"M0",1.01875660364816,0.816053160943296,0,0,0.2,200,0.7,0,"M0",33
0.6,"M3",1.02150241418238,0.814183045190692,0,0.1,0.9,200,0.7,0,"M0",34
0.7,"M3",1.02150241418238,0.814183045190692,0,0.1,0.9,200,0.7,0,"M0",34
0.8,"M3",1.02150241418238,0.814183045190692,0,0.1,0.9,200,0.7,0,"M0",34
0.6,"M0",1.02172372044618,0.818214912150341,0.2,0.4,0.1,200,0.7,0,"M0",35
0.7,"M0",1.02172372044618,0.818214912150341,0.2,0.4,0.1,200,0.7,0,"M0",35
0.8,"M0",1.02172372044618,0.818214912150341,0.2,0.4,0.1,200,0.7,0,"M0",35
0.6,"M2",1.0448495312586,0.832637429992882,0,0.9,0.2,200,0.7,0,"M0",36
0.7,"M2",1.0448495312586,0.832637429992882,0,0.9,0.2,200,0.7,0,"M0",36
0.8,"M2",1.0448495312586,0.832637429992882,0,0.9,0.2,200,0.7,0,"M0",36
0.6,"M0",1.01827502892031,0.810746072408078,0.2,0,0,200,0.7,0,"M0",37
0.7,"M0",1.01827502892031,0.810746072408078,0.2,0,0,200,0.7,0,"M0",37
0.8,"M0",1.01827502892031,0.810746072408078,0.2,0,0,200,0.7,0,"M0",37
0.6,"M0",1.04140532782487,0.835669666276721,0.2,0,0,200,0.7,0,"M0",38
0.7,"M0",1.04140532782487,0.835669666276721,0.2,0,0,200,0.7,0,"M0",38
0.8,"M0",1.04140532782487,0.835669666276721,0.2,0,0,200,0.7,0,"M0",38
0.6,"M1",1.01755354807451,0.808751592574903,0.8,0,0.5,200,0.7,0,"M0",39
0.7,"M1",1.01755354807451,0.808751592574903,0.8,0,0.5,200,0.7,0,"M0",39
0.8,"M1",1.01755354807451,0.808751592574903,0.8,0,0.5,200,0.7,0,"M0",39
0.6,"M0",1.01057256074838,0.804026554844542,0.3,0.5,0,200,0.7,0,"M0",40
0.7,"M0",1.01057256074838,0.804026554844542,0.3,0.5,0,200,0.7,0,"M0",40
0.8,"M0",1.01057256074838,0.804026554844542,0.3,0.5,0,200,0.7,0,"M0",40
0.6,"M0",1.02731043376708,0.820016195470828,0.4,0,0,200,0.7,0,"M0",41
0.7,"M0",1.02731043376708,0.820016195470828,0.4,0,0,200,0.7,0,"M0",41
0.8,"M0",1.02731043376708,0.820016195470828,0.4,0,0,200,0.7,0,"M0",41
0.6,"M0",0.995982705907192,0.792087707958318,0.1,0,0,200,0.7,0,"M0",42
0.7,"M0",0.995982705907192,0.792087707958318,0.1,0,0,200,0.7,0,"M0",42
0.8,"M0",0.995982705907192,0.792087707958318,0.1,0,0,200,0.7,0,"M0",42
0.6,"M0",1.03657466309614,0.827093341820641,0,0,0,200,0.7,0,"M0",43
0.7,"M0",1.03657466309614,0.827093341820641,0,0,0,200,0.7,0,"M0",43
0.8,"M0",1.03657466309614,0.827093341820641,0,0,0,200,0.7,0,"M0",43
0.6,"M3",1.02654121907123,0.818091309568605,0.2,0,0.6,200,0.7,0,"M0",44
