N,lambda,rho,truth,tau,core_model,true_rmse,true_mae,pE,pQ,pV,n
200,0.7,0,M0,0.8,M5,1.03892438585161,0.8248796306468074,0.8666666666666667,0.5333333333333333,0.9666666666666667,3
200,0.7,0,M0,0.8,M6,1.0381433035958771,0.8302257487690968,0,0.9,0.9,2
200,0.7,0,M0,0.8,M7,1.0750587469946928,0.8625334616964203,1,1,0.8,1
200,0.7,0,M6,0.6,M0,1.0510673658606686,0.8381477654910955,0.16666666666666666,0.24666666666666667,0.29333333333333333,15
200,0.7,0,M6,0.6,M1,1.0492174245765895,0.8392376233687332,0.925,0.375,0.225,4
200,0.7,0,M6,0.6,M2,1.0385943321937365,0.8284001885677637,0.14444444444444446,0.9088888888888889,0.2511111111111111,45
200,0.7,0,M6,0.6,M3,1.0396101445893913,0.8288574305465471,0.13333333333333333,0.23055555555555557,0.9,36
200,0.7,0,M6,0.6,M4,1.0375187469654257,0.8287194042729166,0.7642857142857142,0.8357142857142857,0.2,14
200,0.7,0,M6,0.6,M5,1.0380654094481905,0.8279360487712526,0.7846153846153846,0.2230769230769231,0.8461538461538461,13
200,0.7,0,M6,0.6,M6,1.031324159630626,0.8230753805873396,0.15245901639344261,0.8475409836065574,0.860655737704918,61
200,0.7,0,M6,0.6,M7,1.0394195195679135,0.830251414175324,0.725,0.8,0.825,12
200,0.7,0,M6,0.7,M0,1.051076175257241,0.8378252232724439,0.18076923076923077,0.33076923076923076,0.36153846153846153,26
200,0.7,0,M6,0.7,M1,1.0461204665367143,0.8361133892010665,0.9,0.3,0.375,8
200,0.7,0,M6,0.7,M2,1.0397701066478144,0.8292639213751996,0.1784313725490196,0.9274509803921569,0.28627450980392155,51
200,0.7,0,M6,0.7,M3,1.0381703264548108,0.827988900513702,0.18571428571428572,0.30714285714285716,0.9357142857142857,42
200,0.7,0,M6,0.7,M4,1.0420102509183449,0.833091300239483,0.8090909090909091,0.8545454545454546,0.2909090909090909,11
200,0.7,0,M6,0.7,M5,1.0434594371698018,0.8318435072562006,0.8444444444444444,0.3,0.9111111111111111,9
200,0.7,0,M6,0.7,M6,1.0313835049619688,0.8231989090337279,0.174,0.894,0.9,50
200,0.7,0,M6,0.7,M7,1.0326463615832289,0.825174838153654,0.8,0.7666666666666666,0.8333333333333334,3
200,0.7,0,M6,0.8,M0,1.0510506395218624,0.8380534712356433,0.21176470588235294,0.3588235294117647,0.40294117647058825,34
200,0.7,0,M6,0.8,M1,1.0470869410984731,0.837086979793428,0.92,0.43,0.42,10
200,0.7,0,M6,0.8,M2,1.0402842093260483,0.8297989435120946,0.21818181818181817,0.9400000000000001,0.3090909090909091,55
200,0.7,0,M6,0.8,M3,1.0386615386971743,0.8286543913536978,0.212,0.376,0.9480000000000001,50
200,0.7,0,M6,0.8,M4,1.0423257571737587,0.8330597533717867,0.8833333333333333,0.9,0.26666666666666666,6
200,0.7,0,M6,0.8,M5,1.0445719235578328,0.8335990326057686,0.8571428571428572,0.35714285714285715,0.9142857142857143,7
200,0.7,0,M6,0.8,M6,1.0301807688132212,0.821888856914317,0.16052631578947368,0.9315789473684211,0.9184210526315789,38
200,0.7,0,M7,0.6,M0,1.0640929497770077,0.8467975423566534,0.23333333333333334,0.26666666666666666,0.26666666666666666,6
200,0.7,0,M7,0.6,M1,1.049620789244283,0.838215286454198,0.9090909090909091,0.19090909090909092,0.3,11
200,0.7,0,M7,0.6,M2,1.051778382838784,0.8386649232076973,0.25,0.92,0.235,20
200,0.7,0,M7,0.6,M3,1.0492773089836096,0.8380128338192196,0.24375,0.3125,0.91875,16
200,0.7,0,M7,0.6,M4,1.0452733094702116,0.833955832414621,0.9108108108108108,0.8567567567567568,0.24864864864864866,37
200,0.7,0,M7,0.6,M5,1.0408606577201225,0.830443024422454,0.8636363636363636,0.2636363636363636,0.896969696969697,33
200,0.7,0,M7,0.6,M6,1.0381630493808212,0.8280322409256079,0.18888888888888888,0.8755555555555555,0.9088888888888889,45
200,0.7,0,M7,0.6,M7,1.0402948621254045,0.8300278440342288,0.828125,0.828125,0.83125,32
200,0.7,0,M7,0.7,M0,1.067618415727962,0.8499703550144747,0.26666666666666666,0.35555555555555557,0.3111111111111111,9
200,0.7,0,M7,0.7,M1,1.0499123297206763,0.8377001546713609,0.9,0.3526315789473684,0.3,19
200,0.7,0,M7,0.7,M2,1.0508084847653065,0.8381650676586947,0.29615384615384616,0.9538461538461539,0.28846153846153844,26
200,0.7,0,M7,0.7,M3,1.0477699353462266,0.8368982458391265,0.30833333333333335,0.37916666666666665,0.9208333333333334,24
200,0.7,0,M7,0.7,M4,1.04699117137191,0.8355248022621691,0.9483870967741935,0.9,0.3032258064516129,31
200,0.7,0,M7,0.7,M5,1.0426927586255903,0.8317935847323374,0.8909090909090909,0.296969696969697,0.9151515151515152,33
200,0.7,0,M7,0.7,M6,1.0398781569749356,0.8294271201674849,0.23095238095238096,0.9047619047619048,0.930952380952381,42
200,0.7,0,M7,0.7,M7,1.0381773903196532,0.8285690881750875,0.9,0.86875,0.8625,16
200,0.7,0,M7,0.8,M0,1.067002572890529,0.8505533619127402,0.39999999999999997,0.36,0.42,15
200,0.7,0,M7,0.8,M1,1.0522634452312245,0.8399175135737591,0.9347826086956522,0.41304347826086957,0.3217391304347826,23
200,0.7,0,M7,0.8,M2,1.051165663004426,0.8384642691339873,0.3103448275862069,0.9551724137931035,0.32413793103448274,29
200,0.7,0,M7,0.8,M3,1.0484829932193585,0.8370563122721475,0.3861111111111111,0.4222222222222222,0.9472222222222222,36
200,0.7,0,M7,0.8,M4,1.0467623430684077,0.8349608152580889,0.9535714285714286,0.9285714285714286,0.33214285714285713,28
200,0.7,0,M7,0.8,M5,1.0420872850370946,0.831921260826201,0.95,0.35384615384615387,0.9230769230769231,26
200,0.7,0,M7,0.8,M6,1.0408602751849596,0.8299538513585907,0.23142857142857143,0.9428571428571428,0.9400000000000001,35
200,0.7,0,M7,0.8,M7,1.040689021632248,0.8300715742460084,0.95,0.925,0.9,8
200,0.7,0.4,M0,0.6,M0,1.025662721350507,0.8182388346128474,0.165625,0.10729166666666667,0.15104166666666666,96
200,0.7,0.4,M0,0.6,M1,1.029687917588905,0.8217796457827602,0.7444444444444445,0.12777777777777777,0.10555555555555556,18
200,0.7,0.4,M0,0.6,M2,1.0294912345405924,0.8210332681664266,0.17083333333333334,0.7958333333333334,0.1375,24
200,0.7,0.4,M0,0.6,M3,1.0294514586272945,0.8216280812908234,0.16,0.16444444444444445,0.7533333333333333,45
200,0.7,0.4,M0,0.6,M4,1.0341543479393835,0.8253194770076083,0.7,0.6,0.06666666666666667,3
200,0.7,0.4,M0,0.6,M5,1.0209782385835804,0.8163774303869593,0.7666666666666666,0.26666666666666666,0.7666666666666666,3
200,0.7,0.4,M0,0.6,M6,1.0406767794656522,0.8294609212974295,0.16666666666666666,0.8555555555555556,0.8,9
200,0.7,0.4,M0,0.6,M7,1.0376330712817645,0.8272609042836239,0.9,0.75,0.9,2
200,0.7,0.4,M0,0.7,M0,1.02563218426545,0.8183830992540266,0.1870689655172414,0.12844827586206897,0.19224137931034482,116
200,0.7,0.4,M0,0.7,M1,1.031527204346933,0.8226447789486385,0.8,0.23125,0.1375,16
200,0.7,0.4,M0,0.7,M2,1.0300609771137232,0.8215801205084238,0.19090909090909092,0.8272727272727273,0.14545454545454545,22
200,0.7,0.4,M0,0.7,M3,1.0299371661997185,0.8217593781210641,0.15428571428571428,0.16571428571428573,0.7971428571428572,35
200,0.7,0.4,M0,0.7,M5,1.0238108118039477,0.8178818210900013,0.7666666666666666,0.39999999999999997,0.9,3
200,0.7,0.4,M0,0.7,M6,1.042221666876642,0.8308247050165165,0.14285714285714285,0.8857142857142858,0.8571428571428572,7
200,0.7,0.4,M0,0.7,M7,1.0413695475676934,0.8285066986440557,0.9,0.9,0.8,1
200,0.7,0.4,M0,0.8,M0,1.0262392092658266,0.8187329295615683,0.2136986301369863,0.16164383561643836,0.24383561643835616,146
200,0.7,0.4,M0,0.8,M1,1.035624145129426,0.8269081425794395,0.8777777777777778,0.2777777777777778,0.15555555555555556,9
200,0.7,0.4,M0,0.8,M2,1.0285163422805896,0.8201335257599053,0.2,0.8705882352941177,0.19411764705882353,17
200,0.7,0.4,M0,0.8,M3,1.0263059120901519,0.8195499772236718,0.155,0.155,0.885,20
200,0.7,0.4,M0,0.8,M5,1.0321416879799736,0.8242258560749636,0.9,0.6,1,1
200,0.7,0.4,M0,0.8,M6,1.044876392855735,0.8333163458080839,0.15,0.9,0.8833333333333333,6
200,0.7,0.4,M0,0.8,M7,1.0413695475676934,0.8285066986440557,0.9,0.9,0.8,1
200,0.7,0.4,M6,0.6,M0,1.0530947396256383,0.8403219872086831,0.17142857142857143,0.30714285714285716,0.3,14
200,0.7,0.4,M6,0.6,M1,1.0483352998396305,0.8351992034571986,0.7142857142857143,0.2857142857142857,0.38571428571428573,7
200,0.7,0.4,M6,0.6,M2,1.0374673963857965,0.8270633494141177,0.09772727272727273,0.8931818181818182,0.22272727272727275,44
200,0.7,0.4,M6,0.6,M3,1.0384898676768217,0.8290278000689076,0.18043478260869567,0.2,0.9152173913043479,46
200,0.7,0.4,M6,0.6,M4,1.0339545336331601,0.8251593370591864,0.7875,0.8375,0.23750000000000002,8
200,0.7,0.4,M6,0.6,M5,1.0463777815915138,0.8335048960731122,0.86,0.09,0.96,10
200,0.7,0.4,M6,0.6,M6,1.031759290892338,0.822844439871076,0.18666666666666668,0.8866666666666667,0.8483333333333334,60
200,0.7,0.4,M6,0.6,M7,1.0372312303224829,0.8277387690855291,0.8090909090909091,0.8545454545454545,0.8090909090909091,11
200,0.7,0.4,M6,0.7,M0,1.0557974613332135,0.8426483633145841,0.19130434782608696,0.3521739130434783,0.3391304347826087,23
200,0.7,0.4,M6,0.7,M1,1.0507078013655176,0.8373413961359302,0.8375,0.3625,0.3875,8
200,0.7,0.4,M6,0.7,M2,1.0378816989736745,0.8274721153558727,0.1288888888888889,0.9333333333333333,0.25333333333333335,45
200,0.7,0.4,M6,0.7,M3,1.0388614773442897,0.8290565217309512,0.19230769230769232,0.24807692307692308,0.9211538461538462,52
200,0.7,0.4,M6,0.7,M4,1.0371046293959894,0.8278479078672815,0.8,0.875,0.3625,8
200,0.7,0.4,M6,0.7,M5,1.0463248234574722,0.8333189586450389,0.9,0.1125,1,8
200,0.7,0.4,M6,0.7,M6,1.031028404052685,0.8222009397695627,0.2,0.9137254901960784,0.8686274509803922,51
200,0.7,0.4,M6,0.7,M7,1.0386136520715632,0.8296330106965922,0.86,0.92,0.9400000000000001,5
200,0.7,0.4,M6,0.8,M0,1.0547532832469524,0.8414046011227513,0.20833333333333334,0.40555555555555556,0.41388888888888886,36
200,0.7,0.4,M6,0.8,M1,1.0528993983239445,0.8404793852024296,0.8857142857142858,0.4857142857142857,0.42857142857142855,7
200,0.7,0.4,M6,0.8,M2,1.0387951974333887,0.8279648403008654,0.172,0.9480000000000001,0.308,50
200,0.7,0.4,M6,0.8,M3,1.039035517135948,0.8290414175950355,0.2153846153846154,0.26153846153846155,0.9461538461538461,52
200,0.7,0.4,M6,0.8,M4,1.0367769738697852,0.8291076719318823,0.8500000000000001,0.9,0.25,4
200,0.7,0.4,M6,0.8,M5,1.0446736008261457,0.8323310936336157,0.9285714285714286,0.12857142857142856,1,7
200,0.7,0.4,M6,0.8,M6,1.030655878684382,0.8222009304806239,0.2,0.9425,0.895,40
200,0.7,0.4,M6,0.8,M7,1.0348806164773483,0.8251859768212368,0.9,0.95,0.95,4
